  segment: (11, 0) -> (27, 0) 16 pixel line at 92 degrees
  segment: (0, 28) -> (27, 1) 27 pixel line at 45 degrees
  segment: (27, 0) -> (27, 17) 17 pixel line at 0 degrees
  segment: (0, 8) -> (29, 7) 29 pixel line at 90 degrees
  segment: (15, 0) -> (15, 29) 29 pixel line at 0 degrees
  segment: (4, 10) -> (26, 9) 22 pixel line at 90 degrees
  segment: (4, 17) -> (26, 17) 22 pixel line at 90 degrees
  segment: (14, 1) -> (26, 25) 24 pixel line at 154 degrees
  segment: (15, 1) -> (2, 25) 24 pixel line at 28 degrees
  segment: (6, 16) -> (23, 15) 17 pixel line at 90 degrees
  segment: (4, 1) -> (4, 29) 28 pixel line at 0 degrees
  segment: (3, 13) -> (21, 12) 18 pixel line at 90 degrees
  segment: (20, 1) -> (20, 29) 28 pixel line at 0 degrees
  segment: (5, 10) -> (21, 26) 16 pixel line at 135 degrees
  segment: (6, 1) -> (6, 28) 27 pixel line at 0 degrees
  segment: (5, 14) -> (20, 1) 15 pixel line at 49 degrees
  segment: (5, 0) -> (5, 27) 27 pixel line at 0 degrees
  segment: (4, 26) -> (22, 26) 18 pixel line at 90 degrees
  segment: (2, 0) -> (22, 28) 28 pixel line at 145 degrees
  segment: (3, 0) -> (3, 28) 28 pixel line at 0 degrees
  segment: (21, 1) -> (21, 28) 27 pixel line at 0 degrees
  segment: (0, 0) -> (29, 28) 29 pixel line at 135 degrees
  segment: (0, 28) -> (28, 0) 28 pixel line at 45 degrees
  segment: (75, 5) -> (92, 42) 37 pixel line at 156 degrees
  segment: (64, 14) -> (78, 64) 50 pixel line at 164 degrees
  segment: (53, 75) -> (53, 96) 19 pixel line at 179 degrees
  segment: (35, 12) -> (35, 39) 27 pixel line at 179 degrees
  segment: (36, 57) -> (36, 76) 19 pixel line at 179 degrees
  segment: (4, 6) -> (8, 41) 35 pixel line at 174 degrees
  segment: (5, 6) -> (5, 25) 19 pixel line at 0 degrees
  segment: (5, 52) -> (5, 91) 39 pixel line at 0 degrees
  segment: (4, 6) -> (40, 5) 36 pixel line at 88 degrees
  segment: (22, 57) -> (22, 77) 20 pixel line at 0 degrees
  segment: (6, 27) -> (66, 14) 57 pixel line at 78 degrees
  segment: (7, 40) -> (36, 37) 29 pixel line at 84 degrees
  segment: (52, 75) -> (52, 96) 19 pixel line at 1 degrees
  segment: (16, 58) -> (47, 58) 31 pixel line at 90 degrees
  segment: (4, 90) -> (74, 90) 70 pixel line at 90 degrees
  segment: (91, 5) -> (91, 42) 37 pixel line at 0 degrees
  segment: (91, 50) -> (91, 64) 14 pixel line at 0 degrees
  segment: (91, 75) -> (91, 91) 16 pixel line at 0 degrees
  segment: (13, 95) -> (83, 95) 68 pixel line at 90 degrees
  segment: (15, 0) -> (29, 8) 14 pixel line at 123 degrees
  segment: (0, 7) -> (7, 26) 19 pixel line at 158 degrees
  segment: (0, 8) -> (15, 0) 15 pixel line at 60 degrees
  segment: (6, 25) -> (23, 25) 17 pixel line at 90 degrees
  segment: (27, 6) -> (21, 26) 20 pixel line at 17 degrees
  segment: (3, 1) -> (29, 1) 26 pixel line at 90 degrees
  segment: (4, 1) -> (4, 28) 27 pixel line at 0 degrees
  segment: (3, 27) -> (29, 27) 26 pixel line at 90 degrees
  segment: (28, 1) -> (28, 28) 27 pixel line at 0 degrees
  segment: (17, 5) -> (38, 5) 21 pixel line at 91 degrees
  segment: (26, 42) -> (42, 58) 16 pixel line at 135 degrees
  segment: (17, 17) -> (38, 18) 19 pixel line at 92 degrees
  segment: (18, 5) -> (18, 24) 19 pixel line at 0 degrees
  segment: (17, 18) -> (38, 17) 19 pixel line at 88 degrees
  segment: (17, 22) -> (38, 22) 21 pixel line at 89 degrees
  segment: (25, 29) -> (48, 34) 23 pixel line at 102 degrees
  segment: (24, 30) -> (48, 33) 24 pixel line at 99 degrees
  segment: (27, 17) -> (27, 48) 29 pixel line at 0 degrees
  segment: (37, 5) -> (37, 24) 19 pixel line at 0 degrees
  segment: (12, 39) -> (28, 28) 16 pixel line at 55 degrees
  segment: (47, 14) -> (47, 61) 47 pixel line at 0 degrees
  segment: (13, 59) -> (28, 44) 15 pixel line at 45 degrees
  segment: (14, 0) -> (28, 27) 27 pixel line at 153 degrees
  segment: (15, 0) -> (1, 27) 27 pixel line at 28 degrees
  segment: (1, 26) -> (29, 26) 28 pixel line at 90 degrees
